unit_id,name,state,disclosure_score,gradeable,letter,earnings_10_yrs_after_entry_median,earnings_10_yrs_after_entry_median_disputed,completion_completion_rate_4yr_150nt,completion_completion_rate_4yr_150nt_disputed,admissions_admission_rate_overall,admissions_admission_rate_overall_disputed,aid_median_debt_completers_overall,aid_median_debt_completers_overall_disputed,cost_tuition_in_state,cost_tuition_in_state_disputed,student_size,student_size_disputed
110671,University of California-Riverside,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110680,University of California-San Diego,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110699,University of California-San Francisco,CA,0.000000,true,F,missing,false,missing,false,missing,false,missing,false,missing,false,missing,false
110705,University of California-Santa Barbara,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110714,University of California-Santa Cruz,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110778,Sofia University,CA,0.142857,true,F,missing,false,missing,false,missing,false,missing,false,missing,false,reported,false
110875,California Beauty College,CA,0.357143,true,F,reported,false,missing,false,missing,false,missing,false,missing,false,reported,false
111045,Haven University,CA,0.285714,true,F,missing,false,missing,false,missing,false,missing,false,reported,false,reported,false
111054,California Hair Design Academy,CA,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
111081,California Institute of the Arts,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
111188,Cal Poly Maritime Academy,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
111391,California Western School of Law,CA,0.000000,true,F,missing,false,missing,false,missing,false,missing,false,missing,false,missing,false
111434,Canada College,CA,0.500000,true,D,reported,false,missing,false,missing,false,missing,false,reported,false,reported,false
111461,College of the Canyons,CA,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
111513,Career Academy of Beauty,CA,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
111638,Casa Loma College-Los Angeles,CA,0.857143,true,B,reported,false,reported,false,reported,false,reported,false,missing,false,reported,false
111708,CET-San Diego,CA,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
111717,CET-San Jose,CA,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
111726,CET-El Centro,CA,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
111744,CET-Colton,CA,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
111762,CET-Watsonville,CA,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
111799,CET-Salinas,CA,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
111887,Cerritos College,CA,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
111896,Cerro Coso Community College,CA,0.500000,true,D,reported,false,missing,false,missing,false,missing,false,reported,false,reported,false
111920,Chabot College,CA,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
111939,Chaffey College,CA,0.500000,true,D,reported,false,missing,false,missing,false,missing,false,reported,false,reported,false
111948,Chapman University,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
111966,Charles R Drew University of Medicine and Science,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
112075,Concordia University-Irvine,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
112084,San Diego Christian College,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
112127,Church Divinity School of the Pacific,CA,0.000000,true,F,missing,false,missing,false,missing,false,missing,false,missing,false,missing,false
